id,practice_id,creation_date,practice_status,note,customer_id
1,1234,2021-10-05,Open,,3
2,1334,2021-10-06,Open,,1
3,1434,2021-10-07,Close,,5
4,1534,2021-10-08,Open,,4
5,1634,2021-10-09,Close,,2
6,1734,2021-10-10,Open,,5
7,1834,2021-10-11,Close,,3
8,1934,2021-10-12,Open,,2
9,2034,2021-10-13,Close,,2
10,2134,2021-10-14,Open,,7
11,2234,2021-10-15,Close,,4
12,2334,2021-10-16,Open,,1
13,2434,2021-10-17,Close,,7
14,2534,2021-10-18,Open,,3
15,2634,2021-10-19,Close,,6
16,2734,2021-10-20,Open,,7
17,2834,2021-10-21,Close,,6
18,2934,2021-10-22,Open,,6
19,3034,2021-10-23,Close,,1
20,3134,2021-10-24,Open,,6
21,3234,2021-10-25,Close,,7
22,3334,2021-10-26,Open,,3
23,3434,2021-10-27,Close,,5
24,3534,2021-10-28,Open,,1
25,3634,2021-10-29,Close,,5
26,3734,2021-10-30,Open,,2
27,3834,2021-10-31,Close,,4
28,3934,2021-11-01,Open,,4
29,4034,2021-11-02,Close,,1